문제,보기1,보기2,보기3,보기4,정답,해설
"한 개의 통신 회선에 여러 대의 단말장치가 연결되어 있는 형태를 가진 네트워크 토폴로지는 어떤 형인가?","그물형","십자형","버스형","링형",③,"버스형(Bus Type)은 한 개의 회선을 중심으로 여러 단말장치가 연결되어 있는 구조입니다."
"C 언어에서 산술 연산자가 아닌 것은?","%","*","<<","/",③,"'<<'는 비트 시프트 연산자이며, 산술 연산자(+,-,*,/,% 등)에는 해당하지 않습니다."
"IPv6에 대한 설명으로 틀린 것은?","128비트의 주소 공간을 제공한다.","인증 및 보안 기능을 포함하고 있다.","패킷 크기가 64Kbyte로 고정되어 있다.","확장 헤더를 통해 네트워크 기능 확장이 용이하다.",③,"IPv6는 패킷 크기가 고정되어 있지 않고, IPv4가 64Kbyte의 고정 패킷 크기를 갖습니다."
"다음 설명의 ㉠과 ㉡에 들어갈 내용으로 옳은 것은?
가상기억장치의 일반적인 구현 방법에는 프로그램을 고정된 크기의 일정한 블록으로 나누는 ㉠기법과 가변적인 크기의 블록으로 나누는 ㉡기법이 있다.","㉠: Paging, ㉡: Segmentation","㉠: Segmentation, ㉡: Allocatin","㉠: Segmentation, ㉡: Compaction","㉠: Paging, ㉡: Linking",①,"가상기억장치 구현: 고정크기 블록은 Paging(페이징), 가변크기 블록은 Segmentation(세그멘테이션)입니다."
"JAVA에서 변수와 자료형에 대한 설명으로 틀린 것은?","변수는 어떤 값을 주기억장치에 기억하기 위해서 사용하는 공간이다.","자료형은 한 개의 문자를 저장하고자 할 때 사용한다(char).","실수형 자료형에는 float, short, byte가 있다.","자료형은 조건이 참인지 거짓인지 판단하고자 할 때 boolean을 사용한다.",③,"실수형 자료형에는 float, double이 있고, short, byte는 정수형입니다."
"프로세스 적재 정책과 관련한 설명으로 틀린 것은?","반복, 스택, 부프로그램은 시간 지역성과 관련이 있다(Temporal Locality)","공간 지역성은 프로세스가 어떤 페이지를 참조했다면 이후 가상주소 공간상 그 페이지와 인접한 페이지들을 참조할 가능성이 높음을 의미한다.","일반적으로 페이지 교환에 보내는 시간보다 프로세스 수행에 보내는 시간이 더 크면 스레싱이 발생한다(Thrashing).","스레싱 현상을 방지하기 위해서는 각 프로세스가 필요로 하는 프레임을 제공할 수 있어야 한다.",③,"Thrashing(스레싱)은 페이지 교환 시간이 프로세스 실행 시간보다 커질 때 발생합니다. 즉, 설명이 반대입니다."
"C 언어 프로그램이 실행되었을 때의 결과는?
#include <stdio.h>
int main(void) {
    int n = 4;
    int* pt = NULL;
    pt = &n;
    printf(\"%d\", &n + *pt - *&pt + n);
    return 0;
}","0","4","8","12",③,"문제의 식에서 계산을 해보면 &n은 주소, *pt는 4, *&pt는 포인터 자체, n=4. C언어 메모리/식 안내에 따라 연산하면 8이 됩니다."
"은행가 알고리즘은 교착상태의 해결 방법 중 어떤 기법에 해당하는가?","Avoidance","Detection","Prevention","Recovery",①,"Banker’s Algorithm(은행가 알고리즘)은 교착상태 방지 Avoidance를 위한 기법입니다."
"3개의 페이지 프레임을 갖는 시스템에서 페이지 참조 순서가 1, 2, 1, 0, 4, 1, 3 일 경우 FIFO 알고리즘에 의한 페이지 교체의 경우 프레임의 최종 상태는?","1, 2, 0","2, 4, 3","1, 4, 2","4, 1, 3",④,"FIFO(선입선출) 페이지 교체에서 마지막 3 참조 후 4,1,3으로 남음(작업 과정 표 참조)."
"TCP/IP 프로토콜에서 TCP가 해당하는 계층은?","데이터 링크 계층","네트워크 계층","트랜스포트 계층","세션 계층",③,"TCP(Transmission Control Protocol)는 OSI 7계층 중 4계층(전송) 프로토콜입니다."
"C 언어 프로그램의 결과로 옳은 것은?
#include <stdio.h> 
main() {
    int a = 3, b = 4, c = 5;
    int r1, r2, r3; 
    r1 = a < 4 && b <= 4;
    r2 = a > 3 || b <= 5;
    r3 = !c;
    printf(\"%d\", r1 - r2 + r3); 
}","0","1","2","3",①,"r1=1, r2=1, r3=0 이므로 1-1+0=0입니다."
"UNIX 시스템에서 파일의 권한 모드 설정에 관한 명령어는?","cp","chmod","cat","ls",②,"chmod는 파일 권한(권한 변경)을 설정하는 명령어입니다."
"UNIX에 대한 설명으로 틀린 것은?","상당 부분 C 언어를 사용하여 작성되었으며 이식성이 우수하다.","사용자는 하나 이상의 작업을 백그라운드에서 수행할 수 있어 여러 개의 작업을 병행 처리할 수 있다.","쉘은 프로세스 관리, 기억장치 관리, 입출력 관리 등의 기능을 수행한다.","두 사람 이상의 사용자가 동시에 시스템을 사용할 수 있어 정보와 유틸리티들을 공유하는 편리한 작업 환경을 제공한다.",③,"쉘은 명령 해석기로, 프로세스/기억장치/입출력 관리는 커널이 담당합니다."
"빈 기억공간의 크기가 20KB, 16KB, 8KB, 40KB 일 때 기억장치 배치 전략으로 “Best Fit”을 사용하여 17KB의 프로그램을 적재한 경우 내부 단편화의 크기는 얼마인가?","3KB","23KB","64KB","67KB",①,"20KB 크기에 17KB 적재하여 3KB의 내부 단편화가 남게 됩니다."
"네트워크를 192.168.1.0/24 FLSM 방식으로 4 Subnet으로 나누고 Subnetting을 적용했다. 이 때 4번째 네트워크의 4번째 사용 가능한 IP는 무엇인가?","192.168.1.192","192.168.1.195","192.168.1.196","192.168.1.198",③,"/24를 4분할하면 각 서브넷이 64개 주소 간격. 192.168.1.192에서 0(네트워크), 1(호스트1), 2(호스트2), 3(호스트3), 4(호스트4), 즉 192.168.1.196"
"C 언어 프로그램에서 밑줄 친 부분과 동일한 의미를 가지는 것은 어떤 것인가?
#include <stdio.h>
main( ) {
   int a, b; 
   for (a = 0; a < 2; a++)
      for (b = 0; b < 2; b++)
         printf(\"%d\", !a && !b); 
}
!a || !b","!(a || b)","a && b","a || b",②,"!a && !b는 not(a) and not(b). De Morgan's Law에서 !(a || b)와 동일합니다."
"UNIX에서 새로운 프로세스를 생성하는 명령어는?","ls","cat","fork","chmod",③,"fork는 새 프로세스 생성 명령입니다."
"C 언어 프로그램이 실행되었을 때 실행 결과는?
#include <stdio.h>
struct st {
   int a;
   int c[10];
};
int main(int argc, char* argv[ ]) {
   int i = 0;
   struct st ob1;
   struct st ob2;
   ob1.a = 0;
   ob2.a = 0;
   for (i = 0; i < 10; i++) {
      ob1.c[i] = i;
      ob2.c[i] = ob1.c[i] + i;
   }
   for (i = 0; i < 10; i = i + 2) {
      ob1.a = ob1.a + ob1.c[i];
      ob2.a = ob2.a + ob2.c[i];
   }
   printf(\"%d\", ob1.a + ob2.a);
   return 0;
}
","30","60","80","120",②,"짝수번째 인덱스에 대해 i=0,2,4,6,8: ob1.a=0+2+4+6+8=20, ob2.a=0+4+8+12+16=40, 총 60."
"개발 환경 구성을 위한 빌드(Build) 도구에 해당하지 않는 것은?","Ant","Kerberos","Maven","Gradle",②,"Kerberos는 인증 프로토콜, 빌드 자동화 도구는 아닙니다."
"다음 Python 프로그램이 실행되었을 때 실행 결과는?
a = 100
list_data = ['a','b','c']
dict_data = {'a':90, 'b':95}
print(list_data[0])
print(dict_data['a'])","a\n90","100\n90","100\n100","a\na",①,"list_data[0]은 문자열 a, dict_data['a']는 90이므로 a와 90이 각각 출력"
